par_id,paragraph,has_entity,lexicon_count,difficult_words,last_editor_gender,category,text_clarity,index
79225005859,"Pepys' diary provides a first-hand account of the Restoration, and includes detailed accounts of several major events of the 1660s, along with the lesser known diary of John Evelyn. In particular, it is an invaluable source for the study of the Second Anglo-Dutch War of 1665–7, the Great Plague of 1665, and the Great Fire of London in 1666. In relation to the Plague and Fire, C. S. Knighton has written: ""From its reporting of these two disasters to the metropolis in which he thrived, Pepys's diary has become a national monument."" Robert Latham, editor of the definitive edition of the diary, remarks concerning the Plague and Fire: ""His descriptions of both—agonisingly vivid—achieve their effect by being something more than superlative reporting; they are written with compassion. As always with Pepys it is people, not literary effects, that matter.""",ORG_NO_PRODUCT_YES_PERSON_YES_,139,31.0,man,biographies,clear_enough,10
959908012329,"Looking ahead, the current progress in data-to-text generation paves the way for tailoring texts to specific audiences. For example, data from babies in neonatal care can be converted into text differently in a clinical setting, with different levels of technical detail and explanatory language, depending on intended recipient of the text . The same idea can be applied in a sports setting, with different reports generated for fans of specific teams.",ORG_NO_PRODUCT_NO_PERSON_NO_,70,22.0,woman,artificial intelligence,not_clear_enough,11
123020006718,"Real-time programs such as simulations, flight navigation systems, and medical equipment. For example, in a fly-by-wire system, telemetry must be interpreted and acted upon within strict time constraints. Such systems must eliminate sources of unpredictable delays, which may be created by  interpreted languages, automatic garbage collection, paging operations, or preemptive multitasking. However, some higher-level languages incorporate run-time components and operating system interfaces that can introduce such delays. Choosing assembly or lower-level languages for such systems gives programmers greater visibility and control over processing details.",ORG_NO_PRODUCT_NO_PERSON_NO_,84,38.0,man,programming,not_clear_enough,12
113961006578,"Darwin was the inventor of several devices, though he did not patent any: he believed this would damage his reputation as a doctor. He encouraged his friends to patent their own modifications of his designs.",ORG_NO_PRODUCT_NO_PERSON_YES_,35,8.0,woman,biographies,clear_enough,13
8471004175," He was among the first British troops into both places. He and his cousin, the Charles Spencer-Churchill, 9th Duke of Marlborough, demanded and received the surrender of 52 Boer prison camp guards. Throughout the war, he had publicly chastised anti-Boer prejudices, calling for them to be treated with ""generosity and tolerance"", and after the war he urged the British to be magnanimous in victory. In July, having resigned his lieutenancy, he returned to Britain. His Morning Post despatches had been published as London to Ladysmith via Pretoria and had sold well.Churchill rented a flat in London's Mayfair, using it as his base for the next six years. He stood again as one of the Conservative candidates at Oldham in the October 1900 general election, securing a narrow victory to become a Member of Parliament at age 25. In the same month, he published Ian Hamilton's March, a book about his South African experiences, which became the focus of a lecture tour in November through Britain, America and Canada. Members of Parliament were unpaid and the tour was a financial necessity. In America, Churchill met Mark Twain, President McKinley and Vice President Theodore Roosevelt; he did not get on well with Roosevelt. Later, in spring 1901, he gave more lectures in Paris, Madrid and Gibraltar.",ORG_YES_PRODUCT_NO_PERSON_YES_,214,46.0,man,biographies,clear_enough,14
657766010751,"In 1834, Friedlieb Ferdinand Runge discovered phenol, also known as carbolic acid, which he derived in an impure form from coal tar. At that time, there was uncertainty between the substance of creosote – a chemical that had been used as a preservative on wood used for railway sleeper and ships since it protected the wood from rotting – and carbolic acid. Upon hearing that creosote had been used for treating sewage in Carlisle, Lister obtained a sample from Anderson. Known as ""German creosote"", it was thick, smelly tarry substance.Lister's earliest experiments in antiseptic treatment were directed at treating compound fractures as these were often the most fatal forms of injury.On 21 March 1865, Lister's began his first experiment with carbolic acid on a 22-year-old patient, Neil Kelly who had suffered a severe compound fracture of the leg.",ORG_YES_PRODUCT_NO_PERSON_YES_,136,37.0,woman,biographies,not_clear_enough,15
291401008485,"In 1980, Perutz was invited to deliver one of the six lectures for the Royal Institution Christmas Lectures on The Chicken, the Egg and the Molecules.",ORG_YES_PRODUCT_NO_PERSON_NO_,26,6.0,non-binary,biographies,clear_enough,16
312084008609,"""... the expediency of attempting an intercourse with the Japanese subsists in its full force. Tho from the conversations I had at Batavia with a Dutch Gentleman of a very liberal disposition who was several years resident in Japan, Isaac Titsingh, I collected nothing that could induce me to depend on a favorable reception there, I learned nothing to deter me from the trial. The risk would, at least, be personal, as we have hitherto there no trade to lose. And no moment, if any, could be so propitious for opening up a new trade with them , as when, from the present general confusion of affairs of the Dutch East India Company, their connection with the Japanese is greatly on the decline.""",ORG_YES_PRODUCT_NO_PERSON_YES_,121,26.0,woman,biographies,clear_enough,17
451414002296,Edmund Cartwright  was an English inventor. He graduated from Oxford University. He was an Anglican clergyman and in 1785 he invented the power loom.,ORG_YES_PRODUCT_NO_PERSON_YES_,24,8.0,man,biographies,not_clear_enough,18
71502000795,"The interpreter is a language processor which converts a high-level programming language like JavaScript into machine language by converting and executing it line-by-line. If there is any error in any line, it reports it at the same time and program execution cannot resume until the error is rectified.",ORG_YES_PRODUCT_NO_PERSON_NO_,48,12.0,man,programming,clear_enough,19
8471004195,"Churchill became Secretary of State for the Colonies in February 1921. The following month, the first exhibit of his paintings was held; it took place in Paris, with Churchill exhibiting under a pseudonym. In May, his mother died; followed in August by his two-year-old daughter Marigold who died from septicaemia. Marigold's death devastated her parents and Churchill was haunted by the tragedy for the rest of his life.Churchill was involved in negotiations with Sinn Fein leaders and helped draft the Anglo-Irish Treaty. Elsewhere, he was responsible for reducing the cost of occupying the Middle East, and was involved in the installations of Faisal I of Iraq and his brother Abdullah I of Jordan. Churchill travelled to Mandatory Palestine where, as a supporter of Zionism, he refused an Arab Palestinian petition to prohibit Jewish migration to Palestine. He did allow some temporary restrictions following the 1921 Jaffa riots.",ORG_YES_PRODUCT_NO_PERSON_YES_,147,35.0,man,biographies,clear_enough,20
199756007421,"Bates and others were collecting in the Amazon area, Wallace was more interested in new opportunities in the Malay Archipelago as demonstrated by the travel writings of Ida Laura Pfeiffer, and valuable insect specimens she collected which Stevens sold as her agent. In March 1853 Wallace wrote to Sir James Brooke, Rajah of Sarawak, who was then in London, and who arranged assistance in Sarawak for Wallace. In June Wallace wrote to Murchison at the Royal Geographical Society  for support, proposing to again fund his exploring entirely from sale of duplicate collections. He later recalled that, while researching in the insect-room of the British Museum, he was introduced to Darwin and they ""had a few minutes' conversation."" After presenting a paper and a large map of the Rio Negro to the RGS, Wallace was elected a Fellow of the society on 27 February 1854. Free passage arranged on Royal Navy ships was stalled by the Crimean War, but eventually the RGS funded first class travel by P&O steamships.",ORG_YES_PRODUCT_NO_PERSON_YES_,168,39.0,man,biographies,clear_enough,21
83427005999,"The latest revision of the language  was earlier referred to as Fortran 2015. It is a significant revision and was released on November 28, 2018.Fortran 2018 incorporates two previously published Technical Specifications:",ORG_YES_PRODUCT_NO_PERSON_NO_,32,12.0,man,programming,not_clear_enough,22
